Restaurant,Adresse,PLZ,Ort,Kanton,Telefon,Website
Burgermeister Escherwyss,Hardstrasse 316,8005,Zürich,ZH,044 420 04 20,www.burger-meister.ch
Burgermeister Kaserne,Kasernenstrasse 77 B,8004,Zürich,ZH,044 242 00 02,www.burger-meister.ch
Burgermeister Langstrasse,Langstrasse 6,8004,Zürich,ZH,044 241 14 91,www.burger-meister.ch
Burgermeister Limmat,Langstrasse 243,8005,Zürich,ZH,,www.burger-meister.ch
Burgermeister Oberdorf,Oberdorfstrasse 8,8001,Zürich,ZH,044 260 88 08,www.burger-meister.ch
Burgermeister Oerlikon,Nansenstrasse 3,8050,Zürich,ZH,044 313 96 35,www.burger-meister.ch
Bürgli,Seebacherstrasse 65,8052,Zürich,ZH,044 309 20 01,
Bürgli,Kilchbergstrasse 15,8038,Zürich,ZH,41444828100,www.restaurantbuergli.ch
Burgstein's Gasthaus Penalty,Hallwylstrasse 40,8004,Zürich,ZH,043 537 16 23,
Büsi,Bärenbohlstrasse 47,8046,Zürich,ZH,044 371 66 70,www.restaurant-büsi.ch
Butegar,Elisabethenstrasse 3,8004,Zürich,ZH,079 282 50 95,www.butegar.ch
bye bye,Check-In 2,8060,Zürich-Flughafen,ZH,043 816 60 30,www.autogrill.ch
C.R.E.A.M.,Josefstrasse 214,8005,Zürich,ZH,076 671 92 68,https://cream-zurich.ch/
Cafe & Bar ZürichWest,Altstetterstrasse 140,8048,Zürich,ZH,043 317 08 87,
Cafe am Platz,Schaffhauserplatz,8006,Zürich,ZH,,www.cafeamplatz.ch
CAFE BAR MEIEREI,Spyristrasse 9,8044,Zürich,ZH,044 363 10 00,www.cafebarmeierei.ch
Café des Amis,Nordstrasse 88,8037,Zürich,ZH,043 536 93 81,www.desamis.ch
Café Elena,Neubühlequai 10,8001,Zürich,ZH,044 260 85 39,
Café Felix,Lintheschergasse 8,8001,Zürich,ZH,044 251 80 47,www.cafefelix.ch
Café im Quartierzentrum Schütze,Heinrichstrasse 238,8005,Zürich,ZH,044 412 83 80,www.stadt-zuerich.ch/quartierzentrum-schuetze
Café Irma,Zweierstrasse 55,8004,Zürich,ZH,,www.irma.zuerich
Café Lang,LImmatplatz 7,8005,Zürich,ZH,043 321 36 11,www.lang-zh.ch/
Café Letzistübli,Albisriederstrasse 171,8047,Zürich,ZH,044 492 17 71,
Café Lingo,Selnaustrasse 30,8001,Zürich,ZH,044 400 40 44,www.lingo-zurich.ch
Café Noir,Neugasse 33,8005,Zürich,ZH,044 558 34 10,www.cafe-noir.ch
Cafeteria Baugewerbliche BS Zürich (ZFV),Reishauerstrasse 2,8005,Zürich,ZH,044 446 98 05,www.zfv.ch
Cafeteria BMS Lagerstrasse (ZFV),Lagerstrasse 55,8004,Zürich,ZH,044 297 24 63,www.zfv.ch
Cafeteria BS für Detailhandel (ZFV),Niklausstrasse 16,8006,Zürich,ZH,044 368 27 21,www.zfv.ch
Cafeteria KS Enge/Freudenberg (ZFV),Brandschenkestrasse 125,8002,Zürich,ZH,044 201 72 88,
Cafeteria KS Stadelhofen (ZFV),Promenadengasse 5,8001,Zürich,ZH,044 268 36 50,www.zfv.ch
Cafeteria Obergericht,Hirschengraben 15,8001,Zürich,ZH,,
Cafeteria Operation Center,"Zürich Flughafen, Operation Center 1",8058,Zürich-Flughafen,ZH,,
Caffè & Bar Belpaese,Münsterhof 11,8001,Zürich,ZH,043 344 80 69,www.cafebelpaese.ch
Caffè Latte,Albisstrasse 52,8038,Zürich,ZH,044 555 80 20,
Caffè Spettacolo,Altstetterplatz 11/Bahnhof SBB,8048,Zürich,ZH,044 430 45 05,www.caffe-spettacolo.ch
Caffè Spettacolo,Birmensdorferstrasse 80,8003,Zürich,ZH,41444505775,www.caffe-spettacolo.ch
Caffè Spettacolo,Bahnreisezentrum,8060,Zürich-Flughafen,ZH,043 255 66 25,www.caffe-spettacolo.ch
Caffè Spettacolo,"CS Flughafen Zürich, Flughafenstrasse, Arrival 1 (Terminal A)",8060,Zürich,ZH,041 289 64 64,www.spettacolo.ch
Caffè Stettacolo,Museumstrasse 1,8001,Zürich,ZH,,
Cakefriends,Kalandergasse 1,8045,Zürich,ZH,044 223 22 62,www.cakefriends.ch
Campo,Molkenstrasse 7,8004,Zürich,ZH,,
Cantina,Köchlistrasse 35,8004,Zürich,ZH,044 302 42 42,www.cantinazurich.ch
Cantinetta Antinori,Augustinergasse 25,8001,Zürich,ZH,044 211 72 10,www.cantinetta-antinori.ch
Caprileone,Limmattalstrasse 177,8049,Zürich,ZH,044 545 75 85,www.caprileone.ch
CaReBe,Rütihofstrasse 40,8049,Zürich,ZH,044 558 80 80,www.cabare.ch
Caredda,Josefstrasse 119,8005,Zürich,ZH,044 440 23 41,www.konditorei-caredda.ch
Careum,Gloriastrasse 18,8006,Zürich,ZH,,www.zfv.ch/de/microsites/careum-bistro
Carlton Retaurants & Bar,Bahnhofstrasse 41,8001,Zürich,ZH,044 227 19 11,www.carlton.ch
Cartel,Militärstrasse 14,8004,Zürich,ZH,078 740 48 52,www.cartelburrito.ch
Cartell,Sihlporte 3,8001,Zürich,ZH,,
Casa Aurelio,Langstrasse 209,8005,Zürich,ZH,41442727744,www.casaaurelio.ch
Casa Cavaliere Calleri,Welchogasse 4,8050,Zürich,ZH,,
CASA DEL GATO,Kehlhofstrasse 4,8003,Zürich,ZH,044 300 10 20,www.casa-del-gato.ch
Casa Ferlin,Stampfenbachstrasse 38,8006,Zürich,ZH,044 362 35 09,www.casaferlin.ch
Casa Gourmet,Birmensdorferstrasse 259,8055,Zürich,ZH,,
Casa Nostrana,Albisstrasse 25,8038,Zürich,ZH,41444820090,
Casa Samici,Bleicherweg 5,8001,Zürich,ZH,,https://www.mrsamigo.com/casa-samici
Casa Xolldi,Forchstrasse 4,8008,Zürich,ZH,044 536 12 90,www.xolldiccc.ch
Casco Viejo,Rosengasse 7,8001,Zürich,ZH,044 260 82 11,https://casco-viejo.ch/
Casi Casa,Lagerstrasse 102,8004,Zürich,ZH,,
Casino,Badenerstrasse 647,8048,Zürich,ZH,044 432 10 60,
Castellan's,Stockerstrasse 17,8002,Zürich,ZH,044 286 94 20,https://castellans.ch/
Cèdre Bellevue,Schifflände 5,8001,Zürich,ZH,044 252 83 70,
Cèdre Maurice,Nüschelerstrasse 31,8001,Zürich,ZH,044 221 98 02,
Celia,Langstrasse 35,8004,Zürich,ZH,41442400475,
Center Bar,Airside Center,8058,Zürich-Flughafen,ZH,,www.candrian.com
Central Bistro,Stampfenbachstrasse 24,8001,Zürich,ZH,044 597 08 86,
Centro Caribbean,Ankerstrasse 108,8004,Zürich,ZH,044 210 40 40,https://www.thecaribbean.ch
Centro Lusitano de Zurique,Risweg 1,8041,Zürich,ZH,076 563 17 18,
Certo,Strafburgstrasse 5,8004,Zürich,ZH,044 241 04 04,
Chaima Tai Take Away,Lägernstrasse 32,8037,Zürich,ZH,043 255 06 60,www.chaimatakeaway.ch
Chalet Suisse,Airside Center,8060,Zürich-Flughafen,ZH,043 816 60 38,www.chaletsuisse-zrh.ch
Chäs + Brot Wollishofen GmbH,Mutschellenstrasse 197,8038,Zürich,ZH,044 481 75 43,
Che Grill,,,,,076 834 88 48,www.chegrill.ch
Cheesecake Love,Militärstrasse 16,8004,Zürich,ZH,076 474 59 59,www.cheesecakelove.ch
Cheti's Curry,Seefeldstrasse 7,8008,Zürich,ZH,41432685585,www.chetis.ch
Cheyenne,Querstrasse 3,8050,Zürich,ZH,41443139090,www.cheyenne-oerlikon.ch
Chez Nous Zuerich,Röschibachstrasse 79,8037,Zürich,ZH,078 601 45 10,www.ladencheznous.ch
Chi Chest,Regensbergstrasse 184,8050,Zürich,ZH,076 327 87 67,
Chianalea,Brauerstrasse 87,8004,Zürich,ZH,41435344517,www.chianalea.ch
CHIANG MAI,Zollstrasse 56,8005,Zürich,ZH,044 271 82 52,www.chiang-mai.ch
Chicago,Ricarda-Huch-Strasse,8050,Zürich,ZH,058 561 58 50,www.migros.ch
Chickeria,Langstrasse 83,8004,Zürich,ZH,,
Chiffon,Hirschengraben 36,8001,Zürich,ZH,043 243 60 63,www.restaurant-chiffon.ch/
Chimy's,Neugasse 76,8005,Zürich,ZH,043 366 82 72,
ChopChop,Josefstrasse 102,8005,Zürich,ZH,044 521 18 88,www.chop-chop.ch
Chopstick,Niederdorfstrasse 82,8001,Zürich,ZH,044 262 75 65,
Chopstick,Limmatquai 138,8001,Zürich,ZH,044 262 58 88,www.china-restaurant-chopstick.ch
Chornlade,Zurlindenstrasse 211,8003,Zürich,ZH,044 450 70 17,www.chornlade.ch
Choupette,Tessinerplatz 9,8002,Zürich,ZH,079 535 34 74,www.choupette.zuerich/
Chreis 14,Circle 64,8058,Zürich-Flughafen,ZH,,circle.sv-restaurant.ch
Chuchi am Wasser,Wasserwerkstrasse 21,8006,Zürich,ZH,044 365 34 40,www.dynamo.ch
Cima,Kanonengasse 19,8004,Zürich,ZH,41442411630,www.cimacurry.com
Cinque,Langstrasse 215,8005,Zürich,ZH,044 272 46 30,www.restaurant-cinque.ch
Clausiusbar,"Tannenstrasse 3, ETH Zürich",8092,Zürich ETH-Zentrum,ZH,044 632 62 70,clausiusbar.sv-restaurant.ch
Clouds,Maagplatz 5,8005,Zürich,ZH,,www.clouds.ch
Club Bellevue,Freieckgasse 9,8001,Zürich,ZH,,ttps://www.muellerfoods.ch
Co Chin Chin,Gasometerstrasse 7,8005,Zürich,ZH,044 211 99 77,
Co Chin Chin Brasserie,Wiesenstrasse 1,8008,Zürich,ZH,044 515 99 77,https://www.cochinchin.ch
Coco,Bleicherweg 1a,8001,Zürich,ZH,044 211 98 98,
Coconut,Mühlegasse 29,8001,Zürich,ZH,,
Coffee and Plants,Kalanderplatz 5,8045,Zürich,ZH,079 511 02 43,www.coffeeandplants.ch
Collana,Theaterstrasse 9,8001,Zürich,ZH,41442505910,www.commercio.ch
Collective Bakery,Freyastrasse 3,8004,Zürich,ZH,,www.collectivebakery.ch
COLLECTIVE BAKERY,Förrlibuckstrasse 160,8004,Zürich,ZH,,
Commercio,Mühlebachstrasse 2,8008,Zürich,ZH,41442505930,www.commercio.ch
Commihalle,Stampfenbachstrasse 8,8001,Zürich,ZH,41442505960,www.commercio.ch
Con Guso,Birmensdorferstrasse 169,8003,Zürich,ZH,078 826 13 23,
Con Gusto,Hotzestrasse 65,8006,Zürich,ZH,041 218 68 16,www.con-gusto.ch
Confiserie Baumann,Balgriststrasse 2,8008,Zürich,ZH,044 382 11 21,www.confiserie-baumann.ch
Conti,Dufourstrasse 1,8008,Zürich,ZH,044 251 06 66,www.conti-zuerich.ch
Contrada,Heinrichstrasse 83,8005,Zürich,ZH,41442725090,
Convivio,Rotwandstrasse 62,8004,Zürich,ZH,043 322 00 53,www.convivio.ch
Coop (only Food),Bleicherweg 19,8002,Zürich,ZH,044 204 36 50,www.coop.ch
Coop (only Food),Seefeldstrasse 35,8008,Zürich,ZH,044 204 97 10,www.coop.ch
Coop (only Food),Andreasstrasse 5,8050,Zürich,ZH,044 204 36 60,www.coop.ch
Coop (only Food),Vulkanstrasse 109/ 110,8048,Zürich,ZH,044 204 97 35,www.coop.ch
Coop (only Food),Halle Löwenstrasse,8001,Zürich,ZH,044 273 93 80,www.coop.ch
Coop (only Food),Tessinerplatz 10,8002,Zürich,ZH,044 213 28 70,www.coop.ch
Coop (only Food),Vulkanplatz,8048,Zürich,ZH,044 403 58 70,www.coop.ch
Coop (only Food),Zollstrasse 42,8005,Zürich,ZH,044 315 32 50,www.coop.ch
Coop (only Food),Wolgang-Pauli-Strasse 14,8049,Zürich,ZH,044 403 53 20,www.coop.ch
Coop Pronto (only Food),Badenerstrasse 575,8048,Zürich - Altstetten,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Badenerstrasse 44,8004,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Löwenstrasse 9,8001,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Birmensdorferstrasse 55,8004,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Tessinerplatz 3,8002,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Hohlstrasse 560,8048,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Wehntalerstrasse 351,8046,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Hofwiesenstrasse 5,8057,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Hohlstrasse 461,8048,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Am Wasser 146,8049,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Witikonerstrasse 15,8032,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Badenerstrasse 120,8004,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Dübendorferstrasse 447,8051,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Schaffhauserstrasse 499,8052,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Thurgauerstrasse 36/38,8050,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Hofwiesenstrasse 369,8050,Zürich-Oerlikon,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Badenerstrasse 812,8048,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Pronto (only Food),Prime Tower/Hardstrasse 221,8005,Zürich,ZH,,https://www.coop-pronto.ch/de
Coop Restaurant,Sophie-Taeuber-Strasse 4,8050,Zürich,ZH,,www.coop.ch
Coop Restaurant,Theaterstrasse 18,8001,Zürich,ZH,043 268 87 00,www.coop.ch
Coop Restaurant,Bahnhofstrasse 57,8001,Zürich,ZH,,www.coop.ch
Coop Restaurant,Baslerstrasse 50,8048,Zürich,ZH,,www.coop.ch
Coop Take it,Bahnhofstrasse 57,8001,Zürich,ZH,044 226 91 45,www.coop.ch
Coop to go,Vladimir-Prelog-Weg 10,8049,Zürich,ZH,044 633 71 70,www.coop.ch
Coop to go,"Zürich Hauptbahnhof, Halle Landesmuseum",8001,Zürich,ZH,044 215 57 50,www.coop.ch
Coop to go,Bahnhofstrasse 57,8001,Zürich,ZH,,www.coop.ch
Coop to go,Schaffhauserstrasse 389,8050,Zürich,ZH,,www.coop.ch
Coop to go,Neugasse 50-52,8005,Zürich,ZH,044 215 57 40,www.coop.ch
Coop to go,Badenerstrasse 15,8004,Zürich,ZH,044 206 91 75,www.coop.ch
Coop to go,Stadelhoferstrasse 8,8001,Zürich,ZH,044 250 47 88,www.coop.ch
Coop to go,Airside Center,8060,Zürich-Flughafen,ZH,,www.cooptogo.ch
Coop to go Maagplatz,Maagplatz,8005,Zürich,ZH,,www.cooptogo.ch
Corallo,Weinbergstrasse 117,8006,Zürich,ZH,41443620059,
Corner 48,Stampfenbachplatz 4,8006,Zürich,ZH,043 810 06 48,
Coucou,Röntgenstrasse 66,8005,Zürich,ZH,044 440 66 80,www.coucou-bar.ch
Coworking Lounge,Tessinerplatz 7,8002,Zürich,ZH,445527299,www.tessinerplatz.ch
Crazy Belly,Räffelstrasse 25,8045,Zürich,ZH,079 945 27 59,
Crêperie Hirschenplatz,Hirschenplatz,8001,Zürich,ZH,,www.zuerich1.ch/marktplatz/creperie-hirschenplatz
Cucina Basillisk,Baslerstrasse 71,8048,Zürich,ZH,,
Cucina Bemoulli,Hardturmstrasse 261,8005,Zürich,ZH,,
Cucina Itameshi,Neumarkt 5,8001,Zürich,ZH,#ERROR!,
Cucina Limmatplatz,Luisenstrasse 40,8005,Zürich,ZH,,
Cucina Milchbuck,Schaffhauserstrasse 113,8057,Zürich,ZH,,
Cucina Niederdorf,Münstergasse 4,8001,Zürich,ZH,,
cue,Zähringerplatz 11,8001,Zürich,ZH,044 240 27 27,
Culmann,Culmannstrasse 1,8006,Zürich,ZH,044 251 36 51,www.culmann.ch
Cuore & Sapore,Aegertenstrasse 56,8003,Zürich,ZH,044 451 05 05,
Curry Corner,Beckenhofstrasse 16,8006,Zürich,ZH,044 362 92 32,
Curry Factory,Flurstrasse 55,8048,Zürich,ZH,079 640 30 02,
Da Biagio,Limmattalstrasse 228,8049,Zürich,ZH,044 341 00 76,www.osteriadabiagio.ch
Da Enzo,Schauenbergstrasse 8,8046,Zürich,ZH,044 371 55 25,www.ristorante-pizzeria-daenzo.ch
da Marco am Limmatplatz,Ausstellungsstrasse 114,8005,Zürich,ZH,076 428 48 19,
Da Michele,Grubenstrasse 12,8045,Zürich,ZH,043 960 03 46,www.trattoriadamichele.ch
da PONE,Hönggerstrasse 43,8037,Zürich,ZH,043 344 55 44,www.dapone.ch
Da Raffaele,Niederdorfstrasse 74,8001,Zürich,ZH,044 700 37 37,da-raffaele.ch/
Dabó Smoothies,Birmensdorferstrasse 285,8055,Zürich,ZH,076 699 97 81,
Daizy,Räffelstrasse 28,8045,Zürich,ZH,043 333 03 28,www.daizy.ch
Dali's Bar,Meinrad-Lienert-Strasse 17,8003,Zürich,ZH,,www.dalis.ch
Dallmayr Amt für Wirtschaft und Arbeit,Walchestrasse 19,8006,Zürich,ZH,,
Dallmayr AOZ Bundesasylzentrum,Zypressenstrasse 60,8040,Zürich,ZH,,
Dallmayr EWZ Zürich,Tramstrasse 35,8050,Zürich,ZH,,
Dallmayr EWZ Zürich,Pfingstweidstrasse 85,8005,Zürich,ZH,,
Dallmayr Schul- und Sportdepartement,Parkring 4,8002,Zürich,ZH,,
Damas,Kyburgstrasse 28,8037,Zürich,ZH,043 818 29 12,
Damas Josefstrasse,Josefstrasse 151,8005,Zürich,ZH,044 710 71 71,
DaPizi,Josefstrasse 27,8005,Zürich,ZH,043 818 27 76,
Dapura Mia,Albisstrasse 108,8038,Zürich,ZH,044 506 60 08,www.dapuramia.ch
Darbar,Zollikerstrasse 1,8008,Zürich,ZH,044 382 44 00,
das Bistro,Dialogweg 11,8050,Zürich,ZH,043 443 92 05,www.dasbistro.ch
D'Aurora Onkel Tom's Hütte,Rotwandstrasse 42,8004,Zürich,ZH,044 241 90 15,www.daurora.ch
daylis,Uetlibergstrasse 301,8045,Zürich,ZH,058 811 32 25,
De Koreander 59,Meinrad-Lienertstrasse 27,8003,Zürich,ZH,044 991 99 59,https://www.dekoreaner59.ch/index.php
dean & david,Bleicherweg 19,8002,Zürich,ZH,043 222 48 45,
Degenried,Degenriedstrasse 135,8032,Zürich,ZH,044 381 51 80,www.degenried.ch
Delhi,Zypressenstrasse 52,8004,Zürich,ZH,41442414100,www.delhihouse.ch
Delicias Latinas,Badenerstrasse 260,8004,Zürich,ZH,076 514 54 87,
Delikatessen Wipkingen (nur Take Away),Schweighofstrasse 230,8045,Zürich,ZH,044 301 70 70,www.delikatessen-wipkingen.ch
Delsole Gastro,Limmattalstrasse 130,8048,Zürich,ZH,044 341 55 66,www.pizzadelsole.ch
der bioladen,Altstetterstrasse 128,8048,Zürich,ZH,044 432 64 42,
Der Wilde Kaiser,Forchstrasse 139,8132,Egg b. Zürich,ZH,078 230 80 99,
Derby Pizza,Sihlfeldstrasse 85,8004,Zürich,ZH,044 545 21 11,www.restaurantderby.ch
Devrandelil Bruders Gökduman,Tramstr.10,8050,Zürich,ZH,076 384 23 83,
Dézaley,Römergasse 7 + 9,8001,Zürich,ZH,044 251 61 29,https://le-dezaley.ch/
Di Mama Pizza,Badenerstrasse 816,8048,Zürich,ZH,076 477 72 40,http://dimama.ch/
Diamante Gelateria & Cafe,Berninaplatz 2,8057,Zürich,ZH,044 313 00 09,www.gelateria-diamante.ch
Didi's Frieden,Stampfenbachstrasse 32,8006,Zürich,ZH,044 253 18 10,www.didisfrieden.ch
Die Cuisine,Geerenweg 23a,8048,Zürich,ZH,044 431 08 21,
Die Giesserei,Birchstrasse 108,8050,Zürich,ZH,043 205 10 10,www.diegiesserei.ch
Die Waid,Waidbadstrasse 45,8037,Zürich,ZH,41434220808,www.diewaid.ch
Dieci,Hohlstrasse 204,8004,Zürich,ZH,41442422070,www.dieci.ch
Dieci,Schaffhauserstrasse 442,8050,Zürich,ZH,044 308 50 40,www.dieci.ch
Dieci,Eibenstrasse 24,8045,Zürich,ZH,41444826565,www.dieci.ch
Dieci,Landoltstrasse 7,8006,Zürich,ZH,41443619095,www.dieci.ch
Dieci Gelateria,Niederdorfstrasse 40,8001,Zürich,ZH,41432685302,www.dieci.ch
Dolder Sports,Adlisbergstrasse 24,8044,Zürich,ZH,044 267 70 80,
Domino's,Goldbrunnenstrasse 115,8055,Zürich,ZH,41444556500,www.dominos.ch
Domino's,Überlandstrasse 437,8051,Zürich,ZH,043 299 40 60,www.dominos.ch
Domino's,Hohlstrasse 502,8048,Zürich,ZH,043 322 25 25,www.dominos.ch
Domino's,Universitätsstrasse 11,8006,Zürich,ZH,043 255 21 41,www.dominos.ch
Domino's,Franklinstrasse 17,8050,Zürich,ZH,043 255 21 41,www.dominos.ch
Domino's,Seebacherstrasse 4,8052,Zürich,ZH,084 442 42 42,www.dominos.ch
Don Latino Gourmet,Aargauerstrasse 252,8048,Zürich,ZH,,
Don Leone,Bäckerstrasse 31,8004,Zürich,ZH,044 241 01 01,www.donleone.ch
Don Leone Waffenplatz,Waffenplatz 15,8002,Zürich,ZH,044 281 94 30,www.donleone.ch
Don Weber,Heinrichstrasse 213,8005,Zürich,ZH,044 272 05 40,www.donweber.ch
Donde Luis,Ankerstrasse 108,8004,Zürich,ZH,043 811 46 46,https://www.facebook.com/dondeluiszurich/
Dong Que,Schaffhauserstrasse 475,8052,Zürich,ZH,044 303 00 01,www.dongque1668.ch
Dont worry eat curry,Mattengasse 29,8005,Zürich,ZH,043 366 82 94,www.dontworry-eatcurry.ch
Dorflinde,Schwamendingerstrasse 37,8050,Zürich,ZH,044 312 05 88,
Dragon Express,Neptunstrasse 57,8032,Zürich,ZH,,dragonexpress.ch
Drei Stuben,Beckenhofstrasse 5,8006,Zürich,ZH,044 350 33 00,www.dreistuben.com
Dreispitz,Saatlenstrasse 110,8050,Zürich,ZH,044 322 09 37,
Dumpling Delights,Zähringerstrasse 12,8001,Zürich,ZH,077 940 12 28,www.dumplingdelights.ch
Dunkin' Donuts,"Hauptbahnhof, Halle Löwenstrasse",8001,Zürich,ZH,044 542 39 16,www.dunkindonuts.ch
Dunkin’ Donuts,"Hauptbahnhof, Halle Landesmuseum",8001,Zürich,ZH,044 542 39 16,www.dunkindonuts.ch
Dunkin’ Donuts,Bellevueplatz 2,8001,Zürich,ZH,044 542 39 25,www.dunkindonuts.ch
Dupont,Beatenplatz 4,8001,Zürich,ZH,044 542 92 20,www.dupont.ch
D-Vino,Seefeldstrasse 113,8008,Zürich,ZH,044 383 30 01,www.d-vino.ch
D-Vino,Schützengasse 12,8001,Zürich,ZH,044 403 48 60,www.d-vino.ch
EatZurigo,Elias-Canetti Strasse 7,8050,Zürich,ZH,078 261 18 30,https://www.eatzurigo.ch/#Keepintouch
Eau,Dennlerstrasse 43,8048,Zürich,ZH,044 492 02 00,
Ebrietas,Zähringerstrasse 39,8001,Zürich,ZH,41442626460,www.ebrietas.ch
eCHo,Neumühlequai 42,8006,Zürich,ZH,044 360 73 18,www.echorestaurant.ch
Eckaffee,Wehntalerstrasse 286,8046,Zürich,ZH,077 974 15 40,
Edelweiss,Check-in 1,8060,Zürich-Flughafen,ZH,043 816 60 83,
Edomae,Talstrasse 62,8001,Zürich,ZH,044 544 00 33,www.edomae.ch
Ege,Feldstrasse 133,8004,Zürich,ZH,044 271 80 30,
Eichhörnli,Nietengasse 16,8004,Zürich,ZH,044 291 93 39,www.restaurant-eichhoernli.ch
Eisenhof,Gasometerstrasse 20,8005,Zürich,ZH,044 271 39 90,
Eisladen,Birmensdorferstrasse 101,8003,Zürich,ZH,044 542 65 57,www.eisladen.ch
Eisladen im Eiswagen,,,,,044 542 65 57,
Eisladen Letzigraben Freibad,Edelweissstrasse 5,8048,Zürich,ZH,,www.eisladen.ch
El Lokal,Gessnerallee 11,8001,Zürich,ZH,043 344 87 50,
El Luchador,Konradstrasse 69,8005,Zürich,ZH,044 271 72 00,www.elluchador.ch
El Truck de Capucho,,,,,076 290 08 86,www.eltruckdecapucho.ch
Emilia,Albisriederstrasse 330,8047,Zürich,ZH,044 400 26 00,www.trattoriaemilia.ch
Emilio,Zweierstrasse 9,8004,Zürich,ZH,044 241 83 21,restaurant-emilio.ch
Emma's Bakery,Schaffhauserstrasse 125,8057,Zürich,ZH,043 543 20 67,www.emmasbakery.ch
Engimatt Leafs,Engimattstrasse 14,8002,Zürich,ZH,044 284 16 16,www.engimatt.ch
Enzian,Binzmühlestrasse 41,8050,Zürich,ZH,043 333 55 45,www.stiftung-enzian.ch
Enzian Main Tower,Thurgauerstrasse 36/38,8050,Zürich,ZH,043 811 48 61,
Epi Park,Bleulerstrasse 60,8008,Zürich,ZH,41443876676,
EquiTable,Stauffacherstrasse 163,8004,Zürich,ZH,41435348277,www.equi-table.ch
Escherwyss Kebap,Hardstrasse 238,8005,Zürich,ZH,,
Escoffier,Feldeggstrasse 49,8008,Zürich,ZH,044 383 66 88,
ETH bQm KulturCafé & Bar,"Leonhardstrasse 34, ETH Zürich",8092,Zürich ETH-Zentrum,ZH,044 632 62 14,www.bqm-bar.ch
ETH food market,"Joseph-von-Deschwanden-Platz 1, ETH Zürich",8093,Zürich ETH-Hönggerberg,ZH,044 633 72 20,www.foodmarket-eth.sv-restaurant.ch
ETH Zürich Dozentenfoyer,Rämistrasse 101,8092,Zürich ETH-Zentrum,ZH,044 632 62 58,www.dozentenfoyer-eth.sv-restaurant.ch
Eurest / Cafébar Leonardo,Thurgauerstrasse 80,8050,Zürich,ZH,,
Eurest / Restaurant Deloitte,Pfingstweidstrasse 11,8005,Zürich,ZH,,
Eurest / TX Group,Werdestrasse 21,8004,Zürich,ZH,079 680 35 57,https://welcome.compass-group.ch/
EUROPA,Lagerstrasse 22,8004,Zürich,ZH,,
Eurospart Bernina (nur Take Away),Schaffhauserstrasse 239,8057,Zürich,ZH,044 317 15 00,https://www.spar.ch/standorte/detail/eurospar-bernina
ewz,"Elektrizitätswerk der Stadt Zürich, Tramstrasse 35",8050,Zürich,ZH,,http://ewz.sv-restaurant.ch
EY Restaurant platform,Maagplatz 1,8005,Zürich,ZH,044 273 59 22,https://zfv.ch/de/microsites/ey-restaurant-platform
Ey-Hof,Triemlistrasse 183,8047,Zürich,ZH,044 222 20 22,www.ey-site.ch
F+F Kantine,Flurstrasse 89,8047,Zürich,ZH,#ERROR!,www.ffzh.ch
Fallender Brunnenhof,Wehntalerstrasse 98,8057,Zürich,ZH,044 350 17 50,www.fallender-brunnenhof.ch
Famiglia Tremonte,Birmensdorferstrasse 129,8003,Zürich,ZH,044 461 30 90,www.famiglia-tremonte.ch
Fantasia,Seebacherstrasse 167,8052,Zürich,ZH,043 443 95 25,
Fattoush,Birmensdorferstrasse 51,8004,Zürich,ZH,043 511 72 73,
Federal,"Hauptbahnhof, Haupthalle Nordtrakt",8001,Zürich,ZH,044 217 15 15,www.brasserie-federal.ch
Felfel (Automaten),,,,,043 536 74 51,www.felfel.ch
Felice Pizza,Zentralstrasse 72,8003,Zürich,ZH,41433332940,
Felix,Bellevueplatz 5,8001,Zürich,ZH,044 251 80 60,
Ferdinand,Gutstrasse 2,8055,Zürich,ZH,41444637557,
FIFA Museum,Seestrasse 27,8002,Zürich,ZH,043 388 27 00,www.fifamuseum.org
FIFA Restaurant half-time,FIFA-Strasse 20,8044,Zürich,ZH,,www.fifamuseum.com
Filfl,Zentralstrasse 136,8003,Zürich,ZH,078 659 82 16,www.filflrestaurant.ch
